4.22E+03,7.13E-02,9.81E-04
3.16E+03,7.48E-02,-5.69E-03
2.37E+03,7.72E-02,-9.99E-03
1.78E+03,7.87E-02,-1.34E-02
1.33E+03,8.09E-02,-1.61E-02
1.00E+03,8.29E-02,-1.85E-02
7.50E+02,8.64E-02,-2.09E-02
5.62E+02,8.97E-02,-2.34E-02
4.22E+02,9.37E-02,-2.61E-02
3.16E+02,9.82E-02,-2.90E-02
2.37E+02,1.03E-01,-3.25E-02
1.78E+02,1.09E-01,-3.66E-02
1.33E+02,1.14E-01,-4.09E-02
1.00E+02,1.21E-01,-4.73E-02
7.50E+01,1.30E-01,-5.20E-02
5.62E+01,1.38E-01,-5.82E-02
4.22E+01,1.47E-01,-6.58E-02
3.16E+01,1.57E-01,-7.52E-02
2.37E+01,1.69E-01,-8.53E-02
1.78E+01,1.83E-01,-9.82E-02
1.33E+01,1.98E-01,-1.13E-01
1.00E+01,2.16E-01,-1.31E-01
7.50E+00,2.40E-01,-1.49E-01
5.62E+00,2.67E-01,-1.71E-01
4.22E+00,3.03E-01,-1.95E-01
3.16E+00,3.45E-01,-2.18E-01
2.37E+00,3.95E-01,-2.40E-01
1.78E+00,4.54E-01,-2.56E-01
1.33E+00,5.18E-01,-2.65E-01
1.00E+00,5.81E-01,-2.58E-01
7.50E-01,6.47E-01,-2.42E-01
5.62E-01,7.01E-01,-2.16E-01
4.22E-01,7.43E-01,-1.81E-01
3.16E-01,7.74E-01,-1.50E-01
2.37E-01,7.97E-01,-1.18E-01
1.78E-01,8.12E-01,-9.23E-02
1.33E-01,8.20E-01,-6.91E-02
1.00E-01,8.28E-01,-5.04E-02
7.50E-02,8.34E-01,-3.55E-02
5.62E-02,8.36E-01,-2.29E-02
5.00E-02,8.38E-01,-1.94E-02
